scope,id,line,term,hit_tokens,rules,lemma_guess,confidence,meaning,status,wrong_count,review_streak,dismissed
???,P1-413,1273,boards,boards,-s,board,?,"n. 木板, 板子；纸板（board复数形式）",learning,5,1,0
???,P1-420,61,booths,booths,-s,booth,?,"n. 售货棚, 摊位( booth的复数形式 ); 小房间",mastered,5,2,0
???,P1-58,1817,Sports Centre,Sports,-s,sport,?,"体育运动中心, 运动场",learning,4,1,0
???,P1-148,2020,brushes,brushes,-es,brush,?,n. 擦( brush的名词复数 ); 刷子; 小冲突; 灌木丛,mastered,4,2,0
???,P1-226,1303,exercises,exercises,-s,exercise,?,"n. 练习题, 演习；运动",mastered,4,2,0
???,P1-205,1259,carpets,carpets,-s,carpet,?,n. 地毯（carpet的复数）,mastered,3,2,0
???,P1-209,735,clothes,clothes,plural-only,,?,n. 衣服；服装；,mastered,3,2,0
???,P1-446,996,cars,cars,-s,car,?,n. 汽车；“car”的复数；,mastered,3,2,0
???,P1-477,660,collect shells,shells,-s,shell,?,"收集,聚集/贝壳（shell的复数）",mastered,3,2,0
???,P9-714,16,pots,pots,-s,pot,?,n. 罐；壶；盆；“pot”的复数；,mastered,3,2,0
???,P1-107,106,whales,whales,-s,whale,?,n. 鲸；“whale”的复数；,mastered,2,2,0
???,P1-139,932,stairs,stairs,plural-only,,?,n. 楼梯,mastered,2,2,0
???,P1-287,1967,tools,tools,-s,tool,?,n. 工具；刀具；器具；“tool”的复数；,mastered,2,2,0
???,P1-385,1387,bad surroundings,surroundings,plural-only,,?,环境差,learning,2,1,0
???,P1-479,348,Collins,Collins,-s,collin,?,n. 柯林斯酒,learning,2,1,0
???,P9-17,31,bacteria,bacteria,irregular,bacterium,?,n. 细菌；“bacterium”的复数；,learning,2,1,0
???,P9-1483,27,crocodiles,crocodiles,-s,crocodile,?,n. 鳄鱼；“crocodile”的复数；,learning,2,0,0
???,P1-52,198,jeans,jeans,plural-only,,?,n. 牛仔裤,mastered,1,0,0
???,P1-128,569,magazines,magazines,-s,magazine,?,n. 杂志；“magazine”的复数；,mastered,1,2,0
???,P1-189,1782,three years,years,-s,year,?,[医]三夏，三春,mastered,1,2,0
???,P1-203,652,candles,candles,-s,candle,?,n. 蜡烛；“candle”的复数；,mastered,1,2,0
???,P1-215,32,decorations,decorations,-s,decoration,?,n. 装饰品；装饰物；“decoration”的复数；,mastered,1,2,0
???,P1-284,1215,teenagers,teenagers,-s,teenager,?,n. （十三到十九岁的）青少年；“teenager”的复数；,mastered,1,2,0
???,P1-288,1959,trousers,trousers,plural-only,,?,n. 裤子；长裤；,mastered,1,2,0
???,P1-300,73,adult learners,learners,-s,learner,?,"成人 / 学习者,初学者",mastered,1,2,0
